date,bitcoin,priceUsd_x,time_x,ethereum,priceUsd_y,time_y,tether,priceUsd,time,solana
2022-01-29 00:00:00+00:00,37936.38962730221,2570.5256018448472914,1643414400000.0,2570.525601844847,1.0038686837920763,1643414400000.0,1.0038686837920765,95.2965034313193761,1643414400000.0,95.29650343131937
2022-01-30 00:00:00+00:00,38033.00444478686,2601.8139214469330719,1643500800000.0,2601.813921446933,1.0026988503673000,1643500800000.0,1.0026988503673,94.9726741500161862,1643500800000.0,94.97267415001618
2022-01-31 00:00:00+00:00,37639.14341177935,2588.9500261885872658,1643587200000.0,2588.9500261885873,1.0026621983861220,1643587200000.0,1.002662198386122,93.5800070369297989,1643587200000.0,93.58000703692979
2022-02-01 00:00:00+00:00,38618.69851271176,2758.1054969805860232,1643673600000.0,2758.105496980586,1.0019049481448279,1643673600000.0,1.001904948144828,107.2928634669376923,1643673600000.0,107.29286346693767
2022-02-02 00:00:00+00:00,38110.06031074658,2740.0518365458802568,1643760000000.0,2740.05183654588,1.0019459581258858,1643760000000.0,1.0019459581258858,108.0731562219966518,1643760000000.0,108.07315622199664
2022-02-03 00:00:00+00:00,36870.751790311275,2646.8709156854953576,1643846400000.0,2646.8709156854957,1.0021834507171843,1643846400000.0,1.0021834507171845,98.3655472998144170,1643846400000.0,98.3655472998144
2022-02-04 00:00:00+00:00,38707.10370560352,2835.9718556500102567,1643932800000.0,2835.97185565001,1.0017500174787294,1643932800000.0,1.0017500174787295,106.1254736521428391,1643932800000.0,106.12547365214284
2022-02-05 00:00:00+00:00,41542.708410126,3013.6062408362895764,1644019200000.0,3013.606240836289,1.0009342018491891,1644019200000.0,1.0009342018491891,114.4283328021078483,1644019200000.0,114.42833280210785
2022-02-06 00:00:00+00:00,41641.7760563115,3010.9941183026528580,1644105600000.0,3010.9941183026526,1.0013562585500868,1644105600000.0,1.0013562585500868,113.9480793214122456,1644105600000.0,113.94807932141224
2022-02-07 00:00:00+00:00,43155.50004180576,3100.2407958714841304,1644192000000.0,3100.240795871484,1.0016493356622292,1644192000000.0,1.0016493356622291,118.0870564290174868,1644192000000.0,118.08705642901748
2022-02-08 00:00:00+00:00,43938.226005165794,3116.7626319310518294,1644278400000.0,3116.762631931052,1.0024124140629318,1644278400000.0,1.0024124140629318,114.6025284290228076,1644278400000.0,114.6025284290228
2022-02-09 00:00:00+00:00,44010.322627053145,3161.6862026900055169,1644364800000.0,3161.6862026900053,1.0023940560789379,1644364800000.0,1.002394056078938,113.4571038718508829,1644364800000.0,113.45710387185088
2022-02-10 00:00:00+00:00,44410.87181983592,3191.8428605685676152,1644451200000.0,3191.842860568568,1.0023732949599755,1644451200000.0,1.0023732949599755,111.4956525612684335,1644451200000.0,111.49565256126844
2022-02-11 00:00:00+00:00,43260.55947938237,3058.8997998727943045,1644537600000.0,3058.8997998727946,1.0025081931550123,1644537600000.0,1.0025081931550124,104.1124236112515500,1644537600000.0,104.11242361125156
2022-02-12 00:00:00+00:00,42423.94044676922,2932.0915711855111122,1644624000000.0,2932.0915711855114,1.0026205650317866,1644624000000.0,1.0026205650317865,96.3513846509544121,1644624000000.0,96.3513846509544
2022-02-13 00:00:00+00:00,42463.33879280509,2920.0738014505969570,1644710400000.0,2920.073801450597,1.0037287310025292,1644710400000.0,1.0037287310025291,95.4740500676415682,1644710400000.0,95.47405006764157
2022-02-14 00:00:00+00:00,42328.92211231977,2899.4006386431134905,1644796800000.0,2899.4006386431133,1.0028285600689474,1644796800000.0,1.0028285600689475,94.5786080048174371,1644796800000.0,94.57860800481744
2022-02-15 00:00:00+00:00,43938.85636814849,3078.0349200443762066,1644883200000.0,3078.034920044376,1.0018171044371482,1644883200000.0,1.0018171044371482,101.7885147865773836,1644883200000.0,101.78851478657738
2022-02-16 00:00:00+00:00,44047.593890104115,3130.4843396393475907,1644969600000.0,3130.4843396393476,1.0015542682393605,1644969600000.0,1.0015542682393603,102.1503973335034401,1644969600000.0,102.15039733350343
2022-02-17 00:00:00+00:00,42705.24488625423,3027.7112811841877736,1645056000000.0,3027.711281184188,1.0018253954166020,1645056000000.0,1.001825395416602,98.1893775587378805,1645056000000.0,98.18937755873789
